"paper","da_label","count","percent","mean","median","mode","minimum","maximum","range","variance","standard_deviation","percentile_rank","quartile_rank","boxplot"
"http://orkg.org/orkg/resource/R279086","analysis","true","true","true","true","false","false","false","false","false","true","false","false","true"
"http://orkg.org/orkg/resource/R193044","analysis","true","true","true","true","false","true","true","true","false","true","false","false","true"
"http://orkg.org/orkg/resource/R200106","analysis","false","true","true","true","false","false","false","false","false","true","false","false","true"
"http://orkg.org/orkg/resource/R220538","analysis","false","true","true","false","false","false","false","false","false","true","false","false","true"
"http://orkg.org/orkg/resource/R228189","analysis","true","true","true","false","false","false","false","false","false","true","false","false","true"
"http://orkg.org/orkg/resource/R280765","analysis",,,"true","false","false","true","true","false","false","true","false","false","true"
"http://orkg.org/orkg/resource/R192345","analysis",,,"true","false","false","false","false","false","false","true","false","false","true"
"http://orkg.org/orkg/resource/R195201","analysis",,,"true","false","false","false","false","false","false","true","false","false","true"
"http://orkg.org/orkg/resource/R198979","analysis",,,"true","false","false","false","false","false","false","true","false","false","true"
"http://orkg.org/orkg/resource/R221821","analysis",,,"true","false","false","false","false","false","false","true","false","false","true"
"http://orkg.org/orkg/resource/R192445","analysis","true","true","true","false","false","true","true",,,,"false","false","true"
"http://orkg.org/orkg/resource/R198808","analysis","true","false","false","false","false","true","true",,,,"false","false","true"
"http://orkg.org/orkg/resource/R220583","analysis","true","true","false","true","false","false","false",,,,"false","false","true"
"http://orkg.org/orkg/resource/R220874","analysis","true","false","true","false","false","false","false",,,,"false","false","true"
"http://orkg.org/orkg/resource/R198797","analysis","true","true",,,,,,,,,"false","false","true"
"http://orkg.org/orkg/resource/R200061","analysis","false","true",,,,,,,,,"false","false","true"
"http://orkg.org/orkg/resource/R211302","analysis","true","true",,,,,,,,,"false","false","true"
"http://orkg.org/orkg/resource/R220390","analysis","true","true",,,,,,,,,"false","false","true"
"http://orkg.org/orkg/resource/R222375","analysis","true","true",,,,,,,,,"false","false","true"
"http://orkg.org/orkg/resource/R227514","analysis","false","true",,,,,,,,,"false","false","true"
"http://orkg.org/orkg/resource/R199136","analysis",,,,,,,,,,,"false","false","true"
"http://orkg.org/orkg/resource/R221156","analysis",,,,,,,,,,,"false","false","true"
"http://orkg.org/orkg/resource/R276045","analysis","true","false","true","false","false","false","false","false","false","true",,,
"http://orkg.org/orkg/resource/R281194","analysis","true","true","true","false","false","false","false","false","false","true",,,
"http://orkg.org/orkg/resource/R193025","analysis","true","true","true","false","false","false","false","true","false","false",,,
"http://orkg.org/orkg/resource/R193089","analysis","true","true","true","true","false","false","false","false","false","true",,,
"http://orkg.org/orkg/resource/R193308","analysis","true","false","true","true","false","true","true","true","false","true",,,
"http://orkg.org/orkg/resource/R193336","analysis","true","true","true","false","false","false","false","false","false","true",,,
"http://orkg.org/orkg/resource/R113008","analysis","true","true","true","false","false","false","false","false","true","true",,,
"http://orkg.org/orkg/resource/R211198","analysis","true","false","true","false","false","false","false","false","true","false",,,
"http://orkg.org/orkg/resource/R211394","analysis","true","true","true","false","false","false","false","false","false","true",,,
"http://orkg.org/orkg/resource/R220605","analysis","true","true","true","false","false","true","true","false","false","true",,,
"http://orkg.org/orkg/resource/R220633","analysis","false","true","true","false","false","true","true","false","false","true",,,
"http://orkg.org/orkg/resource/R225580","analysis","true","true","true","true","false","false","false","false","false","true",,,
"http://orkg.org/orkg/resource/R227465","analysis","true","true","true","true","false","true","true","true","false","true",,,
"http://orkg.org/orkg/resource/R228229","analysis","true","false","true","false","false","false","false","true","false","false",,,
"http://orkg.org/orkg/resource/R229273","analysis","true","true","true","false","false","false","false","true","false","true",,,
"http://orkg.org/orkg/resource/R193385","analysis",,,"true","false","false","true","true","false","false","true",,,
"http://orkg.org/orkg/resource/R194458","analysis",,,"true","false","false","false","false","false","false","true",,,
"http://orkg.org/orkg/resource/R194922","analysis",,,"false","true","false","false","false","false","false","true",,,
"http://orkg.org/orkg/resource/R195182","analysis",,,"true","false","false","false","false","false","false","true",,,
"http://orkg.org/orkg/resource/R221801","analysis",,,"true","false","false","false","false","false","true","false",,,
"http://orkg.org/orkg/resource/R220303","analysis","true","true",,,,,,"false","false","true",,,
"http://orkg.org/orkg/resource/R195849","analysis",,,,,,,,"false","true","true",,,
"http://orkg.org/orkg/resource/R211467","analysis",,,,,,,,"false","true","false",,,
"http://orkg.org/orkg/resource/R249021","analysis","true","true","true","false","false","false","false",,,,,,
"http://orkg.org/orkg/resource/R249030","analysis","true","true","true","true","false","false","false",,,,,,
"http://orkg.org/orkg/resource/R279116","analysis","false","true","true","false","false","false","false",,,,,,
"http://orkg.org/orkg/resource/R280498","analysis","true","true","true","false","false","false","false",,,,,,
"http://orkg.org/orkg/resource/R280738","analysis","true","true","true","false","false","false","false",,,,,,
"http://orkg.org/orkg/resource/R280758","analysis","true","true","true","false","false","false","false",,,,,,
"http://orkg.org/orkg/resource/R280811","analysis","true","true","true","false","false","false","false",,,,,,
"http://orkg.org/orkg/resource/R192386","analysis","true","true","false","false","false","false","true",,,,,,
"http://orkg.org/orkg/resource/R192428","analysis","true","true","true","false","false","false","false",,,,,,
"http://orkg.org/orkg/resource/R193295","analysis","true","true","false","true","true","false","false",,,,,,
"http://orkg.org/orkg/resource/R193341","analysis","true","true","true","false","false","false","false",,,,,,
"http://orkg.org/orkg/resource/R193798","analysis","true","true","true","false","false","false","false",,,,,,
"http://orkg.org/orkg/resource/R193828","analysis","true","true","true","true","false","true","true",,,,,,
"http://orkg.org/orkg/resource/R199123","analysis","true","false","true","false","false","false","false",,,,,,
"http://orkg.org/orkg/resource/R211361","analysis","true","true","true","false","false","false","false",,,,,,
"http://orkg.org/orkg/resource/R211474","analysis","true","true","true","false","false","true","true",,,,,,
"http://orkg.org/orkg/resource/R220323","analysis","true","false","false","true","false","false","false",,,,,,
"http://orkg.org/orkg/resource/R220618","analysis","true","false","true","false","false","true","false",,,,,,
