"paper","year","contribution","dc_label","da_label"
"http://orkg.org/orkg/resource/R193022","2021","http://orkg.org/orkg/resource/R193024","secondary research","analysis"
"http://orkg.org/orkg/resource/R193818","2021","http://orkg.org/orkg/resource/R193819","case study","analysis"
"http://orkg.org/orkg/resource/R193828","2021","http://orkg.org/orkg/resource/R193829","secondary research","analysis"
"http://orkg.org/orkg/resource/R193849","2021","http://orkg.org/orkg/resource/R193850","case study","analysis"
"http://orkg.org/orkg/resource/R193866","2021","http://orkg.org/orkg/resource/R193868","secondary research","analysis"
"http://orkg.org/orkg/resource/R193898","2020","http://orkg.org/orkg/resource/R193900","experiment","analysis"
"http://orkg.org/orkg/resource/R193467","2020","http://orkg.org/orkg/resource/R193469","secondary research","analysis"
"http://orkg.org/orkg/resource/R193929","2020","http://orkg.org/orkg/resource/R193931","study","analysis"
"http://orkg.org/orkg/resource/R194054","2020","http://orkg.org/orkg/resource/R194055","study","analysis"
"http://orkg.org/orkg/resource/R194084","2020","http://orkg.org/orkg/resource/R194085","case study","analysis"
"http://orkg.org/orkg/resource/R194114","2020","http://orkg.org/orkg/resource/R194115","interview","analysis"
"http://orkg.org/orkg/resource/R194139","2020","http://orkg.org/orkg/resource/R194140","survey","analysis"
"http://orkg.org/orkg/resource/R194139","2020","http://orkg.org/orkg/resource/R194140","case study","analysis"
"http://orkg.org/orkg/resource/R194237","2019","http://orkg.org/orkg/resource/R194239","survey","analysis"
"http://orkg.org/orkg/resource/R194253","2019","http://orkg.org/orkg/resource/R194255","secondary research","analysis"
"http://orkg.org/orkg/resource/R194281","2019","http://orkg.org/orkg/resource/R194283","experiment","analysis"
"http://orkg.org/orkg/resource/R194317","2019","http://orkg.org/orkg/resource/R194319","experiment","analysis"
"http://orkg.org/orkg/resource/R194345","2019","http://orkg.org/orkg/resource/R194347","study","analysis"
"http://orkg.org/orkg/resource/R194360","2019","http://orkg.org/orkg/resource/R194362","experiment","analysis"
"http://orkg.org/orkg/resource/R194373","2019","http://orkg.org/orkg/resource/R194375","experiment","analysis"
